lemma,examples
alight,['people ALIGHTED from it']
arise,"['minor differences ARISE whatever between you', 'all great achievements AROSE from dissatisfaction', 'controversies AROSE about us', 'a problem AROSE in bertram', 'scientific discoveries ARISE through discourse', 'all errors ARISE from that', 'incidence AROSE from circumstance', 'it ARISES from desperation']"
awake,"['michael AWOKE second surgery from him', 'i AWAKE at noon', 'you AWAKE at dawn', 'the killer AWOKE before dawn', 'the killer AWOKE before dawn', 'the fire AWOKE the monster in him', 'she AWOKE the luminous springs of luminous sensuality']"
be,[]
bear,"['it BEARS the name of tadamori', 'he BEARS the name of stewart', 'you BEAR the mark of power', 'each BEARING the scars of creation', 'he BORE the brunt of it', 'he BORE the brunt of it', 'chris BORE the brunt of it', 'it BEARS the mark of nimueh', 'nothing BEARING the crest of camelot', 'she BEARS the mark of obedience', 'these parties BORE me to death', 'she BORE the child in secret', 'tak BEAR in mind', 'everybody BEAR with me', 'the banner BEARS the mark of hon', 'it BEARS on credibility', 'you BEAR with it', 'everybody BEAR witness to that', 'you BEAR that in mind', 'they BEAR a flag of friendship', 'i BORE the whip without complaint', 'i BEAR no grudge against you', 'you BORE me to tears', 'they BORE me to tears', 'i BEAR the weight of that', 'you BORE me to death', 'screenplays BORE me to tears', 'they BEAR grudge against me', 'i BEAR the mark of cain', 'he BORE lots of hardships', 'i BEAR some responsibility for you', 'i BEAR the brunt of it', 'these dispatches BEAR the seal of spain', 'this one BEARS the mark of evil', 'these eyes BEAR the pain of separation', 'he BEARS the burden of command', ""place'll BORE you to tears"", 'he BEARS the title of marquis', 'you BEAR the prospects in view', 'bones BEAR the marks of battle', 'prophecies BEAR the stench of opportunity', 'he BORE a grudge for something', 'you BORE me to tears', 'cards BORE me to tears', 'i BEAR no grudge against you', 'i BEAR no grudge for that', 'you BEAR that in mind', 'you BORE me to death', 'you BEAR this in mind', 'you BEAR that in mind', 'the vatican BEARS the stink of immorality', 'you BORE me to distraction', 'you BORE me to distraction', 'we BEAR in mind', 'i BORE them to death', 'it BEARS the sign of achmed', 'she BEARS the man in her', 'he BEARS no resemblance to you', 'yours BORE the marks of shame', 'we BEAR the burden in silence', 'you BORE the brunt of this', 'hands BORE the blood of children', 'i´ll BEAR it in mind', 'they BORE lots of fruit', 'it BORE the great mark of gorlois']"
beat,"['the policemen BEAT us like dogs', 'another guy BEAT me to it', 'the cops BEAT you to it', 'the fungus BEAT us to it', 'they BEAT that lesson into you', 'the women BEAT me without mercy', 'general patton BEAT montgomery into messina', 'the bumpkin BEAT you to her', 'hungarian supporters BEAT him to death', 'we BEAT those guys from kurtalici', 'the hlo BEAT us to it', 'those women BEAT a guard to death', 'no one BEATS me in court', 'we BEAT the pants off them', 'the tiger BEAT us to him', 'that BEATS the speed of sound', 'you BEAT the criminal to death', 'the fbi BEAT me to it', 'that kousuke BEAT me to it', 'you BEAT the teacher with theis', 'no one BEAT you to anything', 'the nanobots BEAT you to it', 'no one BEATS wulfric at shields', 'they BEAT the guy to death', 'i BEAT you by 6', 'that guy BEATS me at everything', 'the chupacabra BEAT me to it', 'the man BEAT it to death', 'the plane BEAT them to it', 'the feds BEAT me to it', 'the russians BEAT us into space', 'no one BEATS me at limbo', 'some one BEAT me to it', 'that pig BEAT me in checkers', 'media BEAT the drums of war', 'somebody BEAT this man to death', 'the phone BEAT you to it', 'you BEAT the man into submission', 'the kid BEAT him to it', 'i BEAT them to it', 'i BEAT him in letters', 'it BEATS with tenderness', 'we BEAT them by 6', 'rommel BEAT in withdrawal', 'i BEAT them at badr', 'i BEAT you to it', 'sofia BEAT on harpo', 'hearts BEATING as one', 'i BEAT a motherfucker to death', 'the guy BEAT the girl to death', 'i BEAT him for this', 'i BEAT you to it', 'i BEAT him to death', 'i BEAT you to that', 'i BEAT them to it', 'i BEAT them with rocks', 'i BEAT you on suspicion', 'i BEAT jerry at pool', 'the guy BEAT the girl to death', 'fluorescent BEAT from them', 'i BEAT him for you', 'i BEAT him at golf', 'i BEAT him to it', 'i BEAT all of them', 'i BEAT him by points', 'i BEAT you to it', 'i BEAT him at everything', 'hearts BEATING over monitor', 'heart BEATING on monitor', 'i BEAT them in poker', 'heart BEATING over monitor', 'i BEAT you to ogden', 'he BEAT on me', 'i BEAT you to it', 'i BEAT him to it', 'somebody BEAT me to it', 'he BEAT you to her', 'he BEAT me to it', 'somebody BEAT me to it', 'you BEAT me to it', 'you BEAT me to it', 'somebody BEAT me to it', 'they BEAT us to it', 'they BEAT us to it', 'who BEAT all of us', 'you BEAT us to it', 'mark BEAT him to it', 'you BEAT me to it', 'we BEAT it into plowshares', 'you BEAT me for real', 'you BEAT me to it', 'someone BEAT him to it', 'you BEAT me to it', 'somebody BEAT me to it', 'you BEAT them with club', 'somebody BEAT us to it', 'someone BEAT us to it', 'somebody BEAT you to it', 'it BEATS a desk in washington', 'somebody BEAT us to it', 'you BEAT sakamoto at tennis', 'i BEAT the number of times', 'you BEAT me to it', 'you BEAT us to it', 'he BEAT all of us', 'we BEAT it on entrapment', 'they BEAT you to it', 'he BEAT me to it', 'they BEAT me like this', 'they BEAT us by seven', 'you BEAT me to it', 'you BEAT eric at basketball', 'they BEAT us by three', 'the drums BEAT for her', 'you BEAT it to death', 'you BEAT us to it', 'he BEAT you to her', 'you BEAT him in battle', 'someone BEAT him to it', 'someone BEAT a girl to death', 'they BEAT you like rugs', 'they BEAT us with chains', 'we BEAT indiana on thursday', 'clark BEAT you to it', 'you BEAT him with belt', 'every heart BEATS for me', 'trash BEAT us to it', 'somebody BEAT us to him', 'you BEAT him to death', 'he BEATS me at everything', 'the heart BEATS for another', 'greg BEAT you to it', 'nobody BEATS me at bingo', 'he BEAT her to death', 'you BEAT that into me', 'somebody BEAT us to it', 'they BEAT you to it', 'someone BEAT him to death', 'you BEAT me to it', 'he BEAT me to it', 'somebody BEAT him to death', 'he BEAT us to it', 'bruckner BEAT you to it', 'nobody BEATS me at candyland', 'we BEAT somebody at something', 'somebody BEAT us to it', 'saintetienne BEAT marseille with 30', 'she BEATS me in everything', 'nobody BEATS you at that', 'she BEAT you to it', 'you BEAT me to it', 'i BEAT him for 40,000', 'you BEAT mel to death', 'razr BEAT us to it', 'flowers BEAT her to death', 'dodgers BEAT minnesota in seven', 'you BEAT him into submission', 'tuna BEAT me to it', 'you BEAT me to it', 'he BEAT me at monopoly', 'they BEAT me to it', 'he BEAT a man to death', 'you BEAT me at everything', 'you BEAT me to it', 'she BEAT me to it', 'she BEAT me at bowling', 'they BEAT us to it', 'someone BEAT us to it', 'he BEAT me to her', 'we BEAT you at agincourt', 'nobody BEATS me at chess', 'he BEAT a woman to death', 'jones BEAT you to it', 'the drum BEAT for battle', 'they BEAT girls like me', 'someone BEAT us to it', 'they BEAT me to it', 'ike BEAT him to death', 'you BEAT me in court', 'somebody BEAT us to it', 'she BEAT me to it', 'you BEAT me to death', 'you BEAT me to it', 'he BEAT you to it', 'they BEAT us to him', 'he BEATS all of you', 'he BEAT you to it', 'i BEAT the meat for nothing', 'i BEAT those bitches with words', 'somebody BEAT us to it', 'you BEAT us to it', 'alice BEAT us to it', 'you BEAT me to it', 'alice BEAT us to it', 'she BEAT us to it', 'someone BEAT me to it', 'thelonious BEAT you to redemption', 'someone BEAT us to it', 'he BEAT us to it', 'someone BEAT us to it', 'someone BEAT us to it', 'someone BEAT you to it', 'someone BEAT me to that', 'someone BEAT her to death', 'someone BEAT me to it', 'nerds BEAT us to it', 'he BEAT you to it', 'you BEAT me to it', 'he BEAT her to death', 'somebody BEAT us to it', 'you BEAT me to it', 'straight BEATS a set of aces', 'some lucky bastard BEAT me to it', 'first army BEAT us to it', 'they BEAT each other to death', 'someone BEAT the lord to it', 'the guy BEAT you by five', 'this ballantine BEAT you to it', 'some kid BEAT me to it', 'the smurf BEATS me at it', 'the cops BEAT him to pieces', 'they BEAT the pants off us', 'the bank BEAT you to it', 'somebody BEAT you to it', 'someone BEAT him to it', 'she BEAT father at tennis', ""they BEAT 'em to it"", 'they BEAT some on me', 'you BEAT me to death', 'he BEAT us to them', 'father BEAT me for it', 'bloomfield BEAT me to him', 'you BEAT mmosconi in detroit', 'somebody BEAT them to it', 'they BEAT us to it', 'worf BEAT you to it', 'father BEAT him for fun', 'they BEAT us to it', 'wife BEAT me to it', 'adams BEAT me to it', 'wife BEAT me at tennis', 'arthur BEAT you to it', 'dog BEATS all of yours', 'somebody BEAT us to it', 'nobody BEATS it like this', 'articles BEATING germany into submission', 'you BEAT me by 19', 'somebody BEAT him to it', 'someone BEATS you to it', 'accident BEAT me to it', 'we BEAT you to it', 'kradic BEAT us to it', 'luka BEAT you to it', 'he BEAT her to death', 'lincoln BEAT you to it', 'we BEAT him to it', 'you BEAT me to it', 'he BEAT her to death', 'buddy BEAT you to it', 'buddy BEAT you to it', 'you BEAT me to it', 'henry BEATS him to it', 'turnip BEAT you to it', 'someone BEAT him to death', 'someone BEAT you to it', 'palladino BEAT me to it', 'he BEAT us to it', 'he BEAT her to death', 'simon BEAT you into unconsciousness', 'he BEAT half to death', 'she BEAT you to it', 'someone BEAT you to it', 'nothing BEATS a blowjob on football', 'nothing BEATS a blowjob on football', 'he BEAT us like that', 'you BEAT me to it', 'somebody BEAT me to it', 'you BEAT me to it', 'you BEAT someone to death', 'you BEAT us to it', 'she BEATS me to it', 'we BEAT him to it', 'he BEAT me by 1/10', 'father BEAT us as children', 'boss BEAT him for fun', 'pickles BEAT us to it', 'boys BEAT us to it', 'somebody BEAT you to it', 'they BEAT us to that', 'force BEAT you to it', 'somebody BEAT us to it', 'mine BEAT the craft with the motto', 'enraged husband BEAT her to death', 'i BEAT you to it', 'heat BEATS against mine', 'you BEAT me to', 'i BEAT him at poker', 'heart BEATING for two', 'harpo BEAT on sofia', 'hearts BEAT as one', 'i BEAT him to it', 'i BEAT you to it', 'i BEAT eric at basketball', 'heart BEATS in loneliness', 'heart BEATS for you', 'heart BEATS for you', 'heart BEATS for you', 'heart BEATS for you', 'heart BEATS for you', 'heart BEATS for you', 'break BEAT with strings', 'nothing BEATS a letter from', 'heart BEATS for him', 'heart BEATS for rusty', 'heart BEATS for her', 'i BEAT you like that', 'hearts BEAT for you', 'walmart BEATEN in medford', 'he BEAT both of y', 'he BEAT both of y', 'heart BEATS with you', 'he BEATS on her', 'hearts BEAT as one', 'hartz BEAT as one', 'i BEAT you to it', 'heart BEATS for you', 'heart BEATS for him', 'heart BEATING like that', 'heart BEATS for you', 'heart BEATS for you', 'i BEAT you for it', 'heart BEATS for you', 'heart BEAT for mine', 'those weirdos BEAT the pants off us', 'some crazy person BEAT him in a park', 'hearts BEAT as', 'the tables BEAT with heavy hearts', 'those fellas BEAT him with sticks', 'the british BEAT you to it', 'he BEAT me of the children', 'he BEAT me of those things', 'someone BEAT her with the fists', 'they BEAT me of different ways', 'the squirrel BEAT her to it', 'the drums BEAT us to it', 'he BEAT you with nothing', 'you BEAT me to it', 'nobody BEATS you in business', 'sister BEAT me to it', 'they BEAT him with a whip', 'they BEAT him of me', 'exwife BEAT you to it', 'you BEAT him with a stone', 'it BEAT until the death', 'you BEAT us in court', ""y'can't BEAT it for peace"", 'someone BEAT her to death', 'the bastard BEAT me to', 'you BEAT me to death', 'doomsday BEAT you to it', 'he BEAT you to it', 'he BEAT her to death', 'we BEAT them to it', 'we BEAT him to it', 'he BEAT me at cards', 'you BEAT me to it', 'he BEAT him with a crowbar', 'you BEATING half to death', 'bell BEAT one to death', 'he BEAT her during them', 'someone BEAT me to it', 'uther BEAT her of me', 'you BEAT me in court', 'someone BEAT me to it', 'you BEAT me to it', 'we BEAT them to death', 'a discovered crane BEATEN to death', 'you BEAT him of strangers', 'gaad BEAT you to it', 'they BEAT him to death', 'we BEAT a bunch of bratzis', 'you BEAT me at chess', 'somebody BEAT dog with stick']"
become,"['the full moon BECAME like blood', 'i BECOME like you', 'i BECOME like you', 'i BECAME like you', 'it BECAME like metal', 'what BECAME of me', 'whatever BECAME of you', 'we BECOME like them', 'people BECAME like vermin', 'they BECOME like torches', 'we BECOME like him', 'what BECAME of her', 'it BECAME about us', 'it BECAME about anarchy', 'they BECOME like angels', 'what BECAME of him', 'the moon BECAME as blood', 'the room BECOMES like vegas', 'this conversation BECOMES about favors', 'this conversation BECOMES about favors', 'the moon BECAME like blood', 'the moon BECAME as blood', 'the incident BECOMES like this', 'this conversation BECOMES about favors', 'the hobbits BECOME like gollum', 'we BECOME what without marguerite', 'life BECAME about survival', 'no one BECOMES for no reason', 'we BECAME like this', 'we BECAME like this', 'it BECAME about something', 'he BECOMES like ranapratap', 'it BECOMES about perseverance', 'it BECAME like this', 'all BECAME about fun', 'you BECOME like me', 'life BECAME like that', 'you BECOME like that', 'it BECOMES like this', 'it BECOMES like keats', 'it BECAME about you', 'he BECAME like that', 'they BECAME about territory', 'you BECAME this like this', 'i BECOME like them', 'i BECOME like this', 'it BECOMES like a', 'i BECAME like this', 'it BECAME of those huge albums', 'you BECAME it like that']"
beget,[]
begin,"['i BEGAN as juliet', 'it BEGINS with k.', 'the final judgement BEGINS at six', 'the final judgement BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'the last judgment BEGINS at six', 'care BEGINS the parade of masks', 'i BEGAN in 1923', 'i BEGAN to age', 'the real deception BEGAN at puberty', 'i BEGAN with her', 'we BEGIN the round of questions', 'an eternal empire BEGINS with you', 'an eternal empire BEGINS with you', 'it BEGAN with s.', 'i BEGAN with personnel', 'work BEGINS at 7', 'he BEGAN the violin at age', 'it BEGINS with n.', ""the 101 BEGINS with goa'ulds"", 'the fast track BEGINS at birth', 'the new cosmos BEGINS with me', 'i BEGIN with you', 'the ceremony BEGINS at 12:30', 'the asian crisis BEGAN in thailand', 'all good friends BEGIN as strangers', 'i BEGIN with nutrition', ""the attack'll BEGIN at midnight"", 'six BEGAN an op in prague', 'i BEGAN as ginny', 'life BEGINS at 59', 'a light BEGINS to dawn', 'it BEGAN at daybreak', 'we BEGIN with him', 'life BEGINS at 40', 'it BEGAN in paris', 'practicality BEGINS at home', 'charity BEGINS at home', 'we BEGIN with geography', 'i BEGAN a series of experiments', 'it BEGINS with god', 'it BEGAN with kil', 'it BEGINS in vichy', 'you BEGIN with moses', 'charity BEGINS at home', 'passover BEGINS at sunset', 'charity BEGINS at home', 'it BEGINS with pyrrhus', 'it BEGINS with you', 'it BEGAN with two', 'duty BEGAN at 7:30', 'life BEGINS at 23', 'it BEGAN in 1935', 'it BEGAN by itself', 'life BEGINS at 40', 'the performance BEGINS at 3', 'charity BEGINS at home', 'charity BEGINS in orlando', 'i BEGAN a portrait of you', 'classes BEGIN after lunch', 'it BEGINS at home', 'it BEGINS with charity', 'charity BEGINS at home', 'today BEGINS with you', 'it BEGINS with pyrrhus', 'it BEGINS with pyrrhus', 'it BEGAN in 308', 'exploitation BEGINS at home', 'exploitation BEGINS at home', 'exploitation BEGINS at home', 'exploitation BEGINS at home', 'it BEGAN with blottingpaper', 'charity BEGINS at home', 'charity BEGINS at home', 'life BEGINS at 40', 'they BEGAN with racism', 'charity BEGINS at home', 'everything BEGINS with choice', 'charity BEGINS at home', 'mine BEGINS with death', 'everything BEGINS with family', 'truth BEGINS in lies', 'the play BEGINS at 7', 'charity BEGINS at home', 'life BEGINS at conception', 'this BEGAN with me', 'protests BEGIN in france', 'term BEGINS after diwali', 'we BEGIN with this', 'it BEGINS with you', 'life BEGINS at conception', 'which BEGINS with adama', 'it BEGAN on gallifrey', 'everything BEGINS with it', 'november BEGINS with fog', 'this BEGAN with you', 'we BEGIN after coffee', 'we BEGIN with this', 'tryouts BEGIN after breakfast', 'we BEGAN in sin', 'we BEGAN in sin', 'every kiss BEGINS with k', 'everything BEGINS in rubble', 'they BEGIN with nothing', 'we BEGIN with equality', 'we BEGIN with connecticut', 'lets BEGIN with landscapes', 'every dream BEGINS with a', 'classes BEGIN in january', 'galang BEGINS with problems', 'we BEGIN with roots', 'some BEGIN in ashes', 'it BEGAN with confusion', 'it BEGINS with goku', 'they BEGAN at dawn', 'peace BEGINS at midnight', 'siege BEGINS at sunrise', 'music BEGINS on video', 'it BEGAN in 648', 'we BEGIN with roots', 'civilization BEGINS with distillation', 'picketing BEGAN on thursday', 'training BEGINS at 0600', 'this house BEGAN with murder', 'this film BEGINS in 1935', 'the show BEGINS at eight', 'the charity BEGINS with oneself', 'these dreams BEGIN as impossibilities', ""we'ii BEGIN with dinner"", 'the evening BEGAN at 7:00', 'the attack BEGINS at dawn', 'the frogs BEGIN to hop', 'the frogs BEGIN to hop', 'the adventure BEGINS with you', 'the concert BEGINS at eight', 'the nightmare BEGAN in guernon', 'the crackdown BEGAN in earnest', 'true genius BEGINS in mediocrity', 'the story BEGINS in mexico', 'this one BEGINS in marseille', 'all life BEGINS with water', 'the frogs BEGIN to hop', 'the frogs BEGIN to hop', 'the universe BEGAN with hydrogen', 'the ceremony BEGINS at 11', 'the males BEGIN to serenade', 'the macintosh BEGAN with jef', 'sexual intercourse BEGAN in 1963', 'all kata BEGIN with protection', 'a slow war BEGINS at birth', 'all questions BEGIN with you', 'eternal life BEGINS after death', 'the story BEGINS at angelfield', 'the crowd BEGINS to boo', 'the war BEGAN at midnight', 'the air BEGINS to simmer', 'the bible BEGINS with trees', 'every creep BEGINS with kay', 'training BEGINS at 05:00', 'all magic BEGINS in arousal', 'every betrayal BEGINS with trust', 'every betrayal BEGINS with trust', 'the duel BEGINS at sundown', 'the problem BEGAN in 2008', 'we BEGIN with that', 'we BEGIN the liberation of poland', 'an eternal empire BEGINS with you', 'the final battle BEGINS in three', 'dad BEGAN the business in 1966', 'the whole story BEGINS with me', 'an effective unit BEGINS with discipline', 'every good fight BEGINS with pizza', 'enemies BEGIN as friends', 'the ceremony BEGINS at 8:00', 'all day BEGINS at midnight', 'the tour BEGINS at noon', 'a national curfew BEGINS at midnight', 'the story BEGINS with you', 'the marriage BEGINS in earnest', 'the marriage BEGINS in earnest', 'crazy time BEGINS at 1:00', 'a new era BEGINS for rentyourtool', 'the missings BEGAN in 2000', 'that process BEGINS in utero', 'dark abstractions BEGIN to alarm', 'next show BEGINS at dusk', 'it BEGINS words like circle', 'the story BEGINS in paris', 'real marathon BEGINS in five', 'mad addictions BEGAN in wrestling', 'the earth BEGAN to quake', 'wonderful country BEGAN with that', 'the real heat BEGINS in june', 'charity BEGINS at home', 'a light BEGINS to dawn', 'life BEGINS in earnest', 'work BEGINS at dawn', 'life BEGAN with you', 'it BEGAN before that', 'charity BEGINS at home', 'story BEGINS in 1935', 'life BEGINS in frustration', 'story BEGINS in london', 'freedom BEGAN with remorse', 'this BEGAN with me', 'life BEGINS with you', 'eveybody BEGINS with that', 'the lobby BEGINS with l.', 'it BEGAN like this', 'we BEGIN with torture', 'sweeps BEGAN after dark', 'the day BEGINS for the dead', 'economy BEGINS at home', 'we BEGAN as wanderers', 'life BEGINS with you', 'he BEGIN to grin', 'it BEGAN before that', 'it BEGAN in seattle', 'love BEGAN in germany', 'mission BEGINS at daybreak', 'shift BEGINS at nine', 'it BEGINS like this', 'it BEGAN with me', 'anthropology BEGINS at dawn', 'it BEGAN with me', 'it BEGAN with species', 'freedom BEGINS with remorse', 'freedom BEGINS with remorse', 'another day BEGINS with', 'first name BEGINS with j', 'lineup BEGINS behind me', 'selection BEGINS on monday', 'you BEGAN without me', 'both names BEGIN with h.', 'the ceremony BEGINS at 6', 'talk BEGAN of partition', 'we BEGAN with health', 'difference BEGAN at conception', 'life BEGINS with murder', 'ours BEGAN in auschwitz', 'sister BEGAN like that', 'all BEGAN with me', 'encounters BEGAN in september', 'calendar BEGINS on genesis', 'everything BEGINS with me', 'we BEGIN with this', 'it BEGINS with me', 'which BEGAN with shanaya', 'all sentences BEGIN with i', 'we BEGIN with this', 'what BEGINS in shame', 'you BEGIN with ba', 'it BEGINS at sun', 'mornings BEGIN with you', 'curriculum BEGINS with hamlet', 'history BEGAN on july', 'history BEGAN on july', 'they BEGAN on impact', 'negotiations BEGIN in tournois', 'first name BEGINS with m.', 'work BEGINS with you', 'bones BEGIN to atrophy', 'training BEGAN from day', 'reform BEGINS with upheaval', 'we BEGIN with porsche', 'story BEGINS in 1861', 'war BEGAN in the heat', 'the arrests BEGAN on friday', 'the plot BEGINS in the year', 'the sharp class BEGINS at 10:00', 'those hot dogs BEGAN life as twinkies', 'it BEGINS with weddings', 'name BEGAN with h', 'it BEGINS with dust', 'name BEGINS with c.', 'name BEGINS with f.', 'everything BEGINS with', 'i BEGAN in january', 'name BEGINS with s.', 'name BEGINS with h.', 'it BEGAN with', 'sentences BEGIN with i.', 'it BEGINS with d', 'philosophy BEGINS in the real world', 'the first experiments BEGAN in 1947', 'the feasting BEGINS of tiny mouths', 'the second war BEGINS from the sky', 'i BEGAN this work with decided misgivings', 'the auction BEGINS a full suit of 16thcentury armor', 'soviet withdrawal BEGAN in may', 'the play BEGINS with you', 'it BEGAN during the war', 'the first name BEGAN with a', 'we BEGAN tea without you', 'the madness BEGAN in me', 'she BEGAN meals on wheels', 'i BEGAN it with the knife', 'the answer BEGINS with biology', 'the future BEGINS with you', 'the fighting BEGAN of missiles', 'they BEGIN demolition on it', 'shooting BEGINS in the cantal', 'the war BEGAN of 1982', 'revolution BEGINS of the state', 'most life BEGAN on cybertron', 'a new era BEGINS for us', 'the assessment BEGINS in four', 'mornings BEGIN in the canteen', 'all life BEGINS in violence', 'the sexcrazed story BEGINS an illicit affair of the gods']"
bend,"['i BEND to nothing', 'you BENT the cadillac in half', 'i BENT for you', 'head BENT over ♪', 'head BENT over ♪', 'head BENT over ♪', 'head BENT over ♪', 'he BENDS over tatiana', 'it BENDS like that', 'it BENDS like that', 'the cortes BENT the neck to you', 'the cortes BENT the neck to you', 'i BEND no knee to einon', 'i BEND the knee before you', 'he BENDS emotion for sport', 'you BEND the neck like this', 'the tarlys BEND the knee like everyone', 'you BENT over him', 'hell BENT on revenge', 'he BENT over her', 'you BEND to me', 'it BENDS towards justice', 'you BEND the world around you', 'no one BENDS the rules like you', 'western winds BEND the silhouettes on the pier', 'i BEND over you', 'they BEND the hands like that', 'you BENT the rules of life']"
